,time,user_name,viewer_count
0,2021-12-03T17:13:57.423512,Dota2RuHub,36319
1,2021-12-03T17:13:57.423512,Trainwreckstv,21182
2,2021-12-03T17:13:57.423512,FPSThailand,16704
3,2021-12-03T17:13:57.423512,stylishnoob4,15228
4,2021-12-03T17:13:57.423512,RiotGames_Korea,14226
5,2021-12-03T17:13:57.423512,BeyondTheSummit,12707
6,2021-12-03T17:13:57.423512,fps_shaka,11909
7,2021-12-03T17:13:57.423512,DreadzTV,11648
8,2021-12-03T17:13:57.423512,zackrawrr,11510
9,2021-12-03T17:13:57.423512,chowh1,11202
10,2021-12-03T17:13:57.423512,Fextralife,10918
11,2021-12-03T17:13:57.423512,Amouranth,10258
12,2021-12-03T17:13:57.423512,Yogscast,9764
13,2021-12-03T17:13:57.423512,Ponce,9679
14,2021-12-03T17:13:57.423512,sinatraa,9402
15,2021-12-03T17:13:57.423512,Shaunz,8960
16,2021-12-03T17:13:57.423512,SilverName,8249
17,2021-12-03T17:13:57.423512,풍월량,7626
18,2021-12-03T17:13:57.423512,NeVeR_LosEs,7597
19,2021-12-03T17:13:57.423512,김도,7558
20,2021-12-03T17:13:59.583095,Dota2RuHub,36319
21,2021-12-03T17:13:59.583095,Trainwreckstv,21182
22,2021-12-03T17:13:59.583095,FPSThailand,16704
23,2021-12-03T17:13:59.583095,stylishnoob4,15228
24,2021-12-03T17:13:59.583095,RiotGames_Korea,14226
25,2021-12-03T17:13:59.583095,BeyondTheSummit,12707
26,2021-12-03T17:13:59.583095,fps_shaka,11909
27,2021-12-03T17:13:59.583095,DreadzTV,11648
28,2021-12-03T17:13:59.583095,zackrawrr,11510
29,2021-12-03T17:13:59.583095,chowh1,11202
30,2021-12-03T17:13:59.583095,Fextralife,10918
31,2021-12-03T17:13:59.583095,Amouranth,10258
32,2021-12-03T17:13:59.583095,Yogscast,9764
33,2021-12-03T17:13:59.583095,Ponce,9679
34,2021-12-03T17:13:59.583095,sinatraa,9402
35,2021-12-03T17:13:59.583095,Shaunz,8960
36,2021-12-03T17:13:59.583095,SilverName,8249
37,2021-12-03T17:13:59.583095,풍월량,7626
38,2021-12-03T17:13:59.583095,NeVeR_LosEs,7597
39,2021-12-03T17:13:59.583095,김도,7558
40,2021-12-03T17:14:03.774551,Dota2RuHub,36319
41,2021-12-03T17:14:03.774551,Trainwreckstv,21182
42,2021-12-03T17:14:03.774551,FPSThailand,16704
43,2021-12-03T17:14:03.774551,stylishnoob4,15228
44,2021-12-03T17:14:03.774551,RiotGames_Korea,14226
45,2021-12-03T17:14:03.774551,BeyondTheSummit,12707
46,2021-12-03T17:14:03.774551,fps_shaka,11909
47,2021-12-03T17:14:03.774551,DreadzTV,11648
48,2021-12-03T17:14:03.774551,zackrawrr,11510
49,2021-12-03T17:14:03.774551,chowh1,11202
50,2021-12-03T17:14:03.774551,Fextralife,10918
51,2021-12-03T17:14:03.774551,Amouranth,10258
52,2021-12-03T17:14:03.774551,Yogscast,9764
53,2021-12-03T17:14:03.774551,Ponce,9679
54,2021-12-03T17:14:03.774551,sinatraa,9402
55,2021-12-03T17:14:03.774551,Shaunz,8960
56,2021-12-03T17:14:03.774551,SilverName,8249
57,2021-12-03T17:14:03.774551,풍월량,7626
58,2021-12-03T17:14:03.774551,NeVeR_LosEs,7597
59,2021-12-03T17:14:03.774551,김도,7558
60,2021-12-03T17:14:09.295740,Dota2RuHub,36319
61,2021-12-03T17:14:09.295740,Trainwreckstv,21182
62,2021-12-03T17:14:09.295740,FPSThailand,16704
63,2021-12-03T17:14:09.295740,stylishnoob4,15228
64,2021-12-03T17:14:09.295740,RiotGames_Korea,14226
65,2021-12-03T17:14:09.295740,BeyondTheSummit,12707
66,2021-12-03T17:14:09.295740,fps_shaka,11909
67,2021-12-03T17:14:09.295740,DreadzTV,11648
68,2021-12-03T17:14:09.295740,zackrawrr,11510
